Date,Action
2022-06-29,SELL
2022-07-07,BUY
2022-07-14,BUY
2022-07-21,BUY
2022-07-28,SELL
2022-08-04,SELL
2022-08-11,SELL
2022-08-18,SELL
2022-08-25,SELL
2022-09-01,BUY
2022-09-08,SELL
2022-09-16,BUY
2022-09-23,BUY
2022-09-30,BUY
2022-10-10,BUY
2022-10-17,SELL
2022-10-24,SELL
2022-10-31,SELL
2022-11-07,SELL
2022-11-14,SELL
2022-11-21,SELL
2022-11-28,SELL
2022-12-05,SELL
2022-12-12,SELL
2022-12-19,SELL
2022-12-28,BUY
2023-01-05,BUY
2023-01-12,SELL
2023-01-19,SELL
2023-01-31,SELL
2023-02-07,SELL
2023-02-14,SELL
2023-02-21,BUY
2023-02-28,SELL
2023-03-07,BUY
2023-03-14,SELL
2023-03-21,BUY
2023-03-28,BUY
2023-04-04,SELL
2023-04-14,BUY
2023-04-21,SELL
